Quality,UMI per cell,Cell number,Method,Cell type MI
Q3.000,8.60996,750000,VAE,0.04097235471883506
Q3.000,8.60996,750000,PCA,0.06040779658037892
Q3.000,8.60996,750000,RandomProjection,0.03308607484368052
Q4.000,0.286416,750000,VAE,0.003236850392666284
Q4.000,0.286416,750000,PCA,-0.002926943144707003
Q4.000,0.286416,750000,RandomProjection,0.0006509091868192812
Q2.000,90.609952,750000,VAE,0.24262611606235931
Q2.000,90.609952,750000,PCA,0.4547940449280477
Q2.000,90.609952,750000,RandomProjection,0.22041470891579415
Q1.000,910.599808,750000,VAE,2.87536349407108
Q1.000,910.599808,750000,PCA,2.1472157433443124
Q1.000,910.599808,750000,RandomProjection,1.4056472832179403
Q0.000,9110.500352,750000,VAE,5.979216785142704
Q0.000,9110.500352,750000,PCA,3.7115970857907623
Q0.000,9110.500352,750000,RandomProjection,3.5106094642254932
