# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.01
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  0.8095  0.0008  0.0110  0.0200  0.0037  0.0253  0.8015  0.8013  0.0041  0.0087  0.0045
   1  0.7257 -0.0075  0.0019 -0.0012  0.0001 -0.0070  0.8195  0.7216  0.0838  0.0111  0.0916
   2  0.6641  0.0132 -0.0053 -0.0145  0.0013 -0.0203  0.8283  0.6599  0.1038  0.0246  0.1542
   3  0.5948  0.0004 -0.0058 -0.0114 -0.0012 -0.0012  0.8457  0.5969  0.1233  0.0463  0.1854
   4  0.5171  0.0052 -0.0067 -0.0127 -0.0031 -0.0075  0.8662  0.5481  0.1406  0.0354  0.1777
   5  0.4758 -0.0001  0.0085  0.0018 -0.0067 -0.0011  0.8786  0.4949  0.1422  0.0409  0.1632
   6  0.4568  0.0193 -0.0062 -0.0124 -0.0018  0.0099  0.8856  0.4424  0.1602  0.0422  0.1871
   7  0.4158  0.0238  0.0112 -0.0446  0.0002 -0.0146  0.9097  0.4145  0.1729  0.0753  0.1622
   8  0.3712  0.0104  0.0104 -0.0175 -0.0220 -0.0224  0.9089  0.3822  0.1730  0.0655  0.1483
   9  0.3422  0.0221  0.0013 -0.0083 -0.0006 -0.0039  0.9031  0.3194  0.1931  0.0638  0.1592
  10  0.2892  0.0194 -0.0032 -0.0055 -0.0039 -0.0075  0.9277  0.3323  0.1774  0.1009  0.1302
  11  0.3069  0.0305  0.0036 -0.0209 -0.0107  0.0077  0.9455  0.2914  0.2056  0.0563  0.1304
  12  0.2671  0.0198 -0.0045 -0.0087  0.0130  0.0132  0.9321  0.2651  0.2281  0.0937  0.1189
  13  0.2485  0.0154 -0.0046  0.0032 -0.0083 -0.0028  0.9451  0.2608  0.2158  0.0989  0.1081
  14  0.2130  0.0420 -0.0050 -0.0129 -0.0185 -0.0105  0.9392  0.2261  0.2177  0.1300  0.1102
  15  0.2256  0.0464 -0.0094  0.0010  0.0062 -0.0075  0.9364  0.2430  0.2420  0.1065  0.1103
  16  0.2072  0.0306  0.0119 -0.0049  0.0200  0.0233  0.9628  0.2249  0.2440  0.1377  0.0921
  17  0.2038  0.0518 -0.0011  0.0059 -0.0256  0.0068  0.9687  0.2191  0.2977  0.1722  0.0988
  18  0.1977  0.0479  0.0051  0.0119  0.0076  0.0154  0.9682  0.2032  0.3174  0.1709  0.0829
  19  0.1664  0.0738  0.0150  0.0044 -0.0067  0.0302  0.9548  0.2100  0.3410  0.2067  0.0761
  20  0.1513  0.0886 -0.0003  0.0108  0.0076  0.0304  0.9603  0.2053  0.3524  0.2301  0.0543
  21  0.1805  0.0846 -0.0026  0.0032  0.0083  0.0306  0.9525  0.1976  0.3617  0.2340  0.0618
  22  0.1807  0.0791  0.0008  0.0287  0.0010  0.0174  0.9651  0.2003  0.3839  0.2645  0.0344
  23  0.1584  0.0971  0.0127  0.0225  0.0179  0.0589  0.9700  0.2141  0.4294  0.2898  0.0521
  24  0.1562  0.0905  0.0104  0.0314  0.0016  0.0219  0.9848  0.2009  0.4343  0.3215  0.0479
  25  0.1447  0.0770 -0.0032  0.0007  0.0066  0.0460  0.9720  0.1859  0.4713  0.3505  0.0459
  26  0.1451  0.0930  0.0104  0.0136  0.0140  0.0440  0.9780  0.1827  0.4931  0.3712  0.0231
  27  0.1418  0.0972 -0.0029  0.0113  0.0170  0.0629  0.9623  0.1836  0.5182  0.3977  0.0183
  28  0.1407  0.0799  0.0315  0.0256  0.0040  0.0674  0.9867  0.1918  0.5153  0.4379  0.0181
  29  0.1682  0.0848  0.0094  0.0255  0.0183  0.0433  0.9978  0.1844  0.5474  0.4743 -0.0049
  30  0.1606  0.0916  0.0227  0.0370  0.0271  0.0521  0.9995  0.1623  0.5509  0.4818  0.0279
  31  0.1307  0.1017  0.0260  0.0208  0.0140  0.0638  1.0115  0.1860  0.5977  0.5184  0.0118
  32  0.1255  0.0868  0.0025  0.0245  0.0124  0.0667  0.9879  0.2064  0.5973  0.5224  0.0244
  33  0.1409  0.0874 -0.0001  0.0282  0.0294  0.0659  0.9761  0.1749  0.6020  0.5378  0.0301
  34  0.1340  0.0854 -0.0025  0.0286  0.0339  0.0724  0.9804  0.1803  0.6339  0.5525  0.0341
  35  0.1321  0.1140  0.0008  0.0401  0.0232  0.0983  0.9965  0.2030  0.6469  0.5828  0.0136
  36  0.1300  0.0949  0.0087  0.0182  0.0189  0.0854  1.0071  0.1904  0.6538  0.5994  0.0040
  37  0.1293  0.0911  0.0183  0.0282  0.0360  0.0912  0.9877  0.2003  0.6670  0.6028 -0.0145
  38  0.1239  0.1108 -0.0019  0.0525  0.0221  0.1086  0.9849  0.1988  0.6789  0.6064  0.0251
  39  0.1306  0.0995  0.0223  0.0429  0.0345  0.1050  1.0027  0.1823  0.6852  0.6280  0.0117
  40  0.1182  0.1026  0.0042  0.0623  0.0510  0.0967  0.9743  0.1948  0.6986  0.6303  0.0161
  41  0.1073  0.1187 -0.0093  0.0371  0.0371  0.1030  0.9825  0.1851  0.7013  0.6583  0.0075
  42  0.1278  0.1050  0.0093  0.0395  0.0264  0.0956  0.9999  0.1849  0.7148  0.6487  0.0099
  43  0.1036  0.1131  0.0014  0.0406  0.0307  0.1194  0.9901  0.2090  0.7353  0.6819  0.0105
  44  0.1014  0.1008 -0.0019  0.0185  0.0321  0.0928  0.9991  0.1952  0.7191  0.6786  0.0043
  45  0.1189  0.1052  0.0216  0.0321  0.0210  0.1004  0.9882  0.1985  0.7114  0.6816  0.0093
  46  0.1197  0.0958  0.0029  0.0317  0.0342  0.1124  0.9763  0.1845  0.7479  0.6920  0.0210
  47  0.1103  0.0985  0.0250  0.0215  0.0501  0.1032  0.9917  0.1892  0.7302  0.7133 -0.0075
  48  0.1352  0.1170  0.0312  0.0319  0.0446  0.1282  0.9746  0.1772  0.7422  0.7075  0.0020
  49  0.1202  0.1059  0.0129  0.0389  0.0270  0.1125  0.9850  0.2014  0.7504  0.7332  0.0250
  50  0.1124  0.0883  0.0001  0.0234  0.0335  0.1137  1.0115  0.2095  0.7651  0.7305  0.0058
  51  0.1139  0.0967  0.0050  0.0340  0.0335  0.1019  0.9773  0.2030  0.7554  0.7346 -0.0122
  52  0.1046  0.1035  0.0219  0.0325  0.0432  0.0974  0.9923  0.2051  0.7548  0.7418  0.0105
  53  0.1009  0.1078  0.0032  0.0376  0.0333  0.1145  0.9891  0.2015  0.7648  0.7516  0.0021
  54  0.1073  0.1031  0.0061  0.0409  0.0414  0.1036  0.9996  0.2037  0.7577  0.7517 -0.0135
  55  0.1059  0.1039  0.0054  0.0496  0.0320  0.0982  0.9863  0.2235  0.7707  0.7449 -0.0114
  56  0.0977  0.0851  0.0270  0.0283  0.0310  0.1002  0.9733  0.2265  0.7686  0.7566 -0.0093
  57  0.0935  0.0947 -0.0010  0.0382  0.0296  0.0885  0.9816  0.2243  0.7860  0.7615  0.0001
  58  0.0856  0.0765 -0.0052  0.0219  0.0280  0.0964  0.9804  0.2438  0.7853  0.7692  0.0170
  59  0.0829  0.0686 -0.0031  0.0152  0.0307  0.0810  0.9926  0.2573  0.8024  0.7926 -0.0156
  60  0.0794  0.0743 -0.0009  0.0194  0.0390  0.0768  0.9969  0.2575  0.7931  0.7795  0.0022
  61  0.0553  0.0673 -0.0214  0.0223  0.0070  0.0766  0.9711  0.2808  0.8135  0.7886  0.0015
  62  0.0731  0.0538 -0.0051  0.0320  0.0145  0.0997  0.9827  0.2903  0.8304  0.8042 -0.0072
  63  0.0710  0.0484 -0.0258  0.0276  0.0109  0.0870  0.9937  0.3284  0.8370  0.8090 -0.0090
  64  0.0594  0.0529  0.0004  0.0110  0.0225  0.0601  0.9935  0.3430  0.8278  0.8223 -0.0046
  65  0.0559  0.0456 -0.0044  0.0135  0.0102  0.0727  0.9879  0.3729  0.8550  0.8314 -0.0181
  66  0.0605  0.0404 -0.0028  0.0317  0.0272  0.0500  0.9955  0.3916  0.8450  0.8141 -0.0036
  67  0.0476  0.0307  0.0102  0.0181  0.0043  0.0669  0.9968  0.4239  0.8649  0.8550  0.0033
  68  0.0463  0.0429  0.0191  0.0213  0.0173  0.0392  1.0039  0.4313  0.8905  0.8584 -0.0077
  69  0.0360  0.0324  0.0114  0.0206  0.0339  0.0356  1.0002  0.4785  0.8809  0.8522  0.0055
