,Scale,MI,Class label,N instances of label
0,0.1,1.0,0,211
1,0.1,0.9614273615036621,1,212
2,0.1,1.0,3,409
3,0.1,1.0,5,412
4,0.1,1.0,94,110
5,0.1,2.162933369486463,all,1354
6,0.21544346900318834,1.0,0,211
7,0.21544346900318834,0.9462560405844995,1,212
8,0.21544346900318834,1.0,3,409
9,0.21544346900318834,1.0,5,412
10,0.21544346900318834,1.0,94,110
11,0.21544346900318834,2.156854645204964,all,1354
12,0.46415888336127786,1.0,0,211
13,0.46415888336127786,0.9462560405844995,1,212
14,0.46415888336127786,1.0,3,409
15,0.46415888336127786,0.9877051638389018,5,412
16,0.46415888336127786,0.9092010601679993,94,110
17,0.46415888336127786,2.1304745541081944,all,1354
18,1.0,0.9565859236619416,0,211
19,1.0,0.9322250846700214,1,212
20,1.0,0.9380309971937446,3,409
21,1.0,0.9525728975090995,5,412
22,1.0,0.8005276352963425,94,110
23,1.0,2.0701955182779876,all,1354
24,2.1544346900318834,0.780989087532338,0,211
25,2.1544346900318834,0.8233388029174805,1,212
26,2.1544346900318834,0.8618775222601488,3,409
27,2.1544346900318834,0.8248464924762664,5,412
28,2.1544346900318834,0.5414182058683444,94,110
29,2.1544346900318834,1.809944872271739,all,1354
30,4.6415888336127775,0.4004216459579236,0,211
31,4.6415888336127775,0.5996407573575285,1,212
32,4.6415888336127775,0.66055373059041,3,409
33,4.6415888336127775,0.6265159378405365,5,412
34,4.6415888336127775,0.1601186162495436,94,110
35,4.6415888336127775,1.3311901850589511,all,1354
36,10.0,0.033419348657555026,0,211
37,10.0,0.4038798594522013,1,212
38,10.0,0.41957134679929997,3,409
39,10.0,0.13579261538591147,5,412
40,10.0,0.01337710695081229,94,110
41,10.0,0.649121772362971,all,1354
42,21.54434690031882,0.060774455795276516,0,211
43,21.54434690031882,0.024883699982123364,1,212
44,21.54434690031882,0.16046385264660767,3,409
45,21.54434690031882,0.01838997148177557,5,412
46,21.54434690031882,0.0,94,110
47,21.54434690031882,0.23333338647754376,all,1354
48,46.41588833612777,0.005578073883097279,0,211
49,46.41588833612777,0.003315693387023866,1,212
50,46.41588833612777,0.02373872103592478,3,409
51,46.41588833612777,0.0006184635849186826,5,412
52,46.41588833612777,0.0,94,110
53,46.41588833612777,0.028500145307078117,all,1354
54,100.0,0.0,0,211
55,100.0,0.0,1,212
56,100.0,4.372417306219845e-06,3,409
57,100.0,0.00027829707835980155,5,412
58,100.0,0.0,94,110
59,100.0,0.006787050747300238,all,1354
