,Factor,MI,Class label,N instances of label
0,1,0.9438329062409183,0,218
1,1,0.97711219254754,1,202
2,1,0.9992929705429503,3,403
3,1,1.001599977167972,5,412
4,1,0.9866381119895986,94,119
5,1,2.178158520784438,all,1354
6,2,0.9931941763543406,0,218
7,2,0.9624423364159715,1,202
8,2,1.0005081816653076,3,403
9,2,0.9919240445018626,5,412
10,2,0.9975464091253381,94,119
11,2,2.1545502882529655,all,1354
12,4,0.9981335561625256,0,218
13,4,0.9482686743601078,1,202
14,4,0.9858913575846001,3,403
15,4,0.9827495414457879,5,412
16,4,0.9803632018318966,94,119
17,4,2.1430433301950256,all,1354
18,5,0.9178833588975535,0,218
19,5,0.8783083035114794,1,202
20,5,0.9751651926008511,3,403
21,5,0.9831656171228336,5,412
22,5,0.9264539564565063,94,119
23,5,2.046258664709089,all,1354
24,8,0.8603772647848393,0,218
25,8,0.8093393032612061,1,202
26,8,0.9211954846221392,3,403
27,8,0.8724822758855596,5,412
28,8,0.7623783711093451,94,119
29,8,1.9350708970644228,all,1354
30,10,0.9025171565138154,0,218
31,10,0.8223906737450323,1,202
32,10,0.8799197777032749,3,403
33,10,0.8655389442509426,5,412
34,10,0.791256890738618,94,119
35,10,1.9587746935032662,all,1354
36,20,0.6812920560422128,0,218
37,20,0.7154562377438529,1,202
38,20,0.6986759574676795,3,403
39,20,0.6425505251125828,5,412
40,20,0.534986214634611,94,119
41,20,1.6766987612487403,all,1354
42,25,0.7041366613822048,0,218
43,25,0.7597030010274346,1,202
44,25,0.6890736551919218,3,403
45,25,0.7147200052891848,5,412
46,25,0.39672585976387703,94,119
47,25,1.5803182580503825,all,1354
48,40,0.5258278733722792,0,218
49,40,0.5806349159583933,1,202
50,40,0.6564375499662111,3,403
51,40,0.6363505182561945,5,412
52,40,0.4356484792969006,94,119
53,40,1.3775106106037125,all,1354
54,50,0.5665508122935629,0,218
55,50,0.6999661300363023,1,202
56,50,0.44039789961615244,3,403
57,50,0.5354135733986652,5,412
58,50,0.14798597907672184,94,119
59,50,1.149467033501329,all,1354
60,100,0.2065421812874345,0,218
61,100,0.4871993024517873,1,202
62,100,0.454825043072068,3,403
63,100,0.2921020109254474,5,412
64,100,0.0964146332183498,94,119
65,100,0.864577199209775,all,1354
66,200,0.15712722144063038,0,218
67,200,0.42397472482840437,1,202
68,200,0.21306523999566376,3,403
69,200,0.24651373081639438,5,412
70,200,0.05059722184513552,94,119
71,200,0.6383509652033368,all,1354
