,Factor,MI,Class label,N instances of label
0,1,0.9591803475365404,0,227
1,1,0.962017402004489,1,216
2,1,1.0,3,397
3,1,1.0,5,389
4,1,1.0,94,125
5,1,2.188653833452318,all,1354
6,2,0.9591803475365404,0,227
7,2,0.9407808278921144,1,216
8,2,1.0,3,397
9,2,1.0,5,389
10,2,1.0,94,125
11,2,2.188653833452318,all,1354
12,4,0.9591803475365404,0,227
13,4,0.9332327858608429,1,216
14,4,0.9873079273166021,3,397
15,4,1.0,5,389
16,4,0.9663430608870858,94,125
17,4,2.16277858907785,all,1354
18,5,0.9635436985481003,0,227
19,5,0.962017402004489,1,216
20,5,0.9466244724980548,3,397
21,5,0.9535084509723857,5,389
22,5,0.8970988785326445,94,125
23,5,2.1203433260860236,all,1354
24,8,0.8583570590853551,0,227
25,8,0.8738061515195756,1,216
26,8,0.8585753853050463,3,397
27,8,0.8723060157161526,5,389
28,8,0.6419147860073433,94,125
29,8,1.8975091796477854,all,1354
30,10,0.6851417879162839,0,227
31,10,0.7961178601866116,1,216
32,10,0.8230306519675914,3,397
33,10,0.8355519775478963,5,389
34,10,0.5990648061401918,94,125
35,10,1.8132980016682456,all,1354
36,20,0.5393503435728421,0,227
37,20,0.675657748674057,1,216
38,20,0.6759539324444145,3,397
39,20,0.658841908734166,5,389
40,20,0.4347729730738622,94,125
41,20,1.4878275564642283,all,1354
42,25,0.5240030034490822,0,227
43,25,0.619948164067215,1,216
44,25,0.5783901292532426,3,397
45,25,0.5845033032404693,5,389
46,25,0.3144557713110365,94,125
47,25,1.3335402180424363,all,1354
48,40,0.4033305140123309,0,227
49,40,0.515650912802864,1,216
50,40,0.6026582799239306,3,397
51,40,0.5668354033240292,5,389
52,40,0.2605530222926462,94,125
53,40,1.2505209291403987,all,1354
54,50,0.44347630724848996,0,227
55,50,0.5497983690672278,1,216
56,50,0.37236356164770434,3,397
57,50,0.43058944423250245,5,389
58,50,0.15651340636279087,94,125
59,50,1.0540187308812783,all,1354
60,100,0.12409995403531893,0,227
61,100,0.33732931434375935,1,216
62,100,0.334023362800803,3,397
63,100,0.27122179399518265,5,389
64,100,0.054626243791441875,94,125
65,100,0.6479273018533478,all,1354
66,200,0.1094804059453508,0,227
67,200,0.22432961084603442,1,216
68,200,0.15574307827425582,3,397
69,200,0.21490538185003794,5,389
70,200,0.0030664674374205614,94,125
71,200,0.45868828218105406,all,1354
