,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
0,Q0.001,2.5832314650693724,rep0,0.001,196,VAE,-0.007440854654108277
1,Q0.001,2.5832314650693724,rep0,0.001,196,PCA,0.01614948456523103
2,Q0.001,2.5832314650693724,rep0,0.001,196,RandomProjection,0.020748775527554712
3,Q0.001,2.5832314650693724,rep0,0.001,196,nanoTxformer,-0.00961714492102876
4,Q0.001,2.5832314650693724,rep0,0.002,392,VAE,0.0014421015606769193
5,Q0.001,2.5832314650693724,rep0,0.002,392,PCA,-0.022430537690577273
6,Q0.001,2.5832314650693724,rep0,0.002,392,RandomProjection,-0.04018176162745139
7,Q0.001,2.5832314650693724,rep0,0.005,981,VAE,-0.03156759763385875
8,Q0.001,2.5832314650693724,rep0,0.005,981,PCA,-0.03389730191120097
9,Q0.001,2.5832314650693724,rep0,0.005,981,RandomProjection,0.010053613441969941
10,Q0.001,2.5832314650693724,rep0,0.01,1963,VAE,0.0314119916899075
11,Q0.001,2.5832314650693724,rep0,0.01,1963,PCA,0.03287430806042783
12,Q0.001,2.5832314650693724,rep0,0.01,1963,RandomProjection,-0.004206234454380835
13,Q0.001,2.5832314650693724,rep0,0.01,1963,nanoTxformer,0.01013559719192619
14,Q0.001,2.5832314650693724,rep0,0.022,4319,VAE,0.026930544209667402
15,Q0.001,2.5832314650693724,rep0,0.022,4319,PCA,0.08478941708843964
16,Q0.001,2.5832314650693724,rep0,0.022,4319,RandomProjection,-0.013928451806203508
17,Q0.001,2.5832314650693724,rep0,0.046,9031,VAE,0.016357565522758435
18,Q0.001,2.5832314650693724,rep0,0.046,9031,PCA,-0.011745542469282473
19,Q0.001,2.5832314650693724,rep0,0.046,9031,RandomProjection,-0.04861341653643967
20,Q0.001,2.5832314650693724,rep0,0.1,19633,VAE,-0.021762947528461817
21,Q0.001,2.5832314650693724,rep0,0.1,19633,PCA,-0.007159636262438329
22,Q0.001,2.5832314650693724,rep0,0.1,19633,RandomProjection,-0.017508853830195736
23,Q0.001,2.5832314650693724,rep0,0.1,19633,nanoTxformer,0.047520471820964874
