,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Spatial neighborhood MI
0,Q0.001,0.41324604859636704,rep0,0.001,50,VAE,-0.015228823191608358
1,Q0.001,0.41324604859636704,rep0,0.001,50,PCA,0.00368572285296481
2,Q0.001,0.41324604859636704,rep0,0.001,50,RandomProjection,0.0175806574803278
3,Q0.001,0.41324604859636704,rep0,0.001,50,nanoTxformer,0.00896453528850852
4,Q0.001,0.41324604859636704,rep0,0.002,101,VAE,-0.002266591644293013
5,Q0.001,0.41324604859636704,rep0,0.002,101,PCA,-0.016843642687884554
6,Q0.001,0.41324604859636704,rep0,0.002,101,RandomProjection,-0.008267922425043891
7,Q0.001,0.41324604859636704,rep0,0.005,254,VAE,-0.0002992568226465764
8,Q0.001,0.41324604859636704,rep0,0.005,254,PCA,-0.02223208397453127
9,Q0.001,0.41324604859636704,rep0,0.005,254,RandomProjection,0.008983878840131335
10,Q0.001,0.41324604859636704,rep0,0.01,508,VAE,0.03638272405632795
11,Q0.001,0.41324604859636704,rep0,0.01,508,PCA,-0.02318755846432501
12,Q0.001,0.41324604859636704,rep0,0.01,508,RandomProjection,0.007911813565462196
13,Q0.001,0.41324604859636704,rep0,0.01,508,nanoTxformer,0.01844247867733753
14,Q0.001,0.41324604859636704,rep0,0.022,1119,VAE,0.018343671901072958
15,Q0.001,0.41324604859636704,rep0,0.022,1119,PCA,0.007817618810254324
16,Q0.001,0.41324604859636704,rep0,0.022,1119,RandomProjection,-0.011558919417648469
17,Q0.001,0.41324604859636704,rep0,0.046,2339,VAE,0.0013570918854145587
18,Q0.001,0.41324604859636704,rep0,0.046,2339,PCA,0.03674728364195336
19,Q0.001,0.41324604859636704,rep0,0.046,2339,RandomProjection,0.026711939365237535
20,Q0.001,0.41324604859636704,rep0,0.1,5086,VAE,0.00993685708508481
21,Q0.001,0.41324604859636704,rep0,0.1,5086,PCA,-0.03795792359177145
22,Q0.001,0.41324604859636704,rep0,0.1,5086,RandomProjection,-0.013170448791910339
23,Q0.001,0.41324604859636704,rep0,0.1,5086,nanoTxformer,-0.03319181880903007
24,Q0.001,0.41324604859636704,rep0,0.215,10936,VAE,-0.009582287119500692
25,Q0.001,0.41324604859636704,rep0,0.215,10936,PCA,-0.0052349498619163855
26,Q0.001,0.41324604859636704,rep0,0.215,10936,RandomProjection,0.0010722346357315091
