,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Protein MI,Cell type coarse MI,Cell type fine MI
0,Q0.001,8.16636860929939,rep0,1.0,114072,VAE,0.3544317567265639,0.2578198438265656,0.4597392435737187
1,Q0.002,17.570823690300863,rep0,1.0,114072,VAE,0.8447918738476328,0.7450174900857269,0.7783647258203418
2,Q0.005,37.813854407742475,rep0,1.0,114072,VAE,1.1952407388813493,1.0692791906961876,1.2000078161438577
3,Q0.010,81.57287502629917,rep0,1.0,114072,VAE,1.6626187683932234,1.3811244100121494,1.6392691094206377
4,Q0.022,175.68696086682095,rep0,1.0,114072,VAE,2.1322988949259774,1.6276493485924304,2.059761276114296
5,Q0.046,378.49905322953924,rep0,1.0,114072,VAE,2.489233832027928,1.8380818217589077,2.4026188967647926
6,Q0.100,815.5538081211866,rep0,1.0,114072,VAE,2.7888484669142755,1.9930714644410361,2.706062754925201
7,Q0.215,1756.9447717231221,rep0,1.0,114072,VAE,3.1424295864528133,2.1130161465375017,3.032516516372239
8,Q0.464,3784.5776351777827,rep0,1.0,114072,VAE,3.4723676686605764,2.24827985286492,3.3680019107023744
9,Q1.000,8153.868320008416,rep0,1.0,114072,VAE,3.6448326730660425,2.3218035622735758,3.581467804820083
