,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Protein MI,Cell type coarse MI,Cell type fine MI
0,Q0.001,8.16636860929939,rep0,0.001,114,VAE,0.37359942653777445,0.35061930672354685,0.4032029655319783
1,Q0.001,8.16636860929939,rep0,0.001,114,PCA,0.3705538254985186,0.3361971927631296,0.41246771189837017
2,Q0.001,8.16636860929939,rep0,0.001,114,RandomProjection,0.3670128649306159,0.34617405044849914,0.4212532468048528
3,Q0.001,8.16636860929939,rep0,0.001,114,nanoTxformer,0.30288528158674555,0.40014605156401434,0.42694299139484354
4,Q0.001,8.16636860929939,rep0,0.002,228,VAE,0.3883795955478641,0.34138942372194897,0.43618399369103356
5,Q0.001,8.16636860929939,rep0,0.002,228,PCA,0.3647995338187856,0.32438656446613157,0.38571997685773735
6,Q0.001,8.16636860929939,rep0,0.002,228,RandomProjection,0.3705777720154786,0.2934212419397794,0.36457860107617784
7,Q0.001,8.16636860929939,rep0,0.005,570,VAE,0.3430016372238882,0.2894108697289494,0.3543080433513231
8,Q0.001,8.16636860929939,rep0,0.005,570,PCA,0.3718519236891501,0.34820719549055223,0.39705308630634784
9,Q0.001,8.16636860929939,rep0,0.005,570,RandomProjection,0.39723875664788977,0.36360969011679467,0.42820144340614896
10,Q0.001,8.16636860929939,rep0,0.01,1140,VAE,0.34138181801377326,0.2987211503691009,0.33971962625531266
11,Q0.001,8.16636860929939,rep0,0.01,1140,PCA,0.40188945790270675,0.373339522949483,0.4508949960584861
12,Q0.001,8.16636860929939,rep0,0.01,1140,RandomProjection,0.39584718627134036,0.28530455285366263,0.41786483980606015
13,Q0.001,8.16636860929939,rep0,0.01,1140,nanoTxformer,0.30320891236110487,0.3929646920204869,0.4330796689305877
14,Q0.001,8.16636860929939,rep0,0.022,2509,VAE,0.32696625326098133,0.2570838676446187,0.3445619926217659
15,Q0.001,8.16636860929939,rep0,0.022,2509,PCA,0.43354969961770107,0.4087642653003478,0.467860311375485
16,Q0.001,8.16636860929939,rep0,0.022,2509,RandomProjection,0.3590052971592692,0.33301173821905394,0.3620852734603694
17,Q0.001,8.16636860929939,rep0,0.046,5247,VAE,0.3269400288097706,0.2563080074400264,0.2621006638043942
18,Q0.001,8.16636860929939,rep0,0.046,5247,PCA,0.383954805687995,0.33591012323170216,0.4338569562076764
19,Q0.001,8.16636860929939,rep0,0.046,5247,RandomProjection,0.34831270029225014,0.33785059376501264,0.4030051707985839
20,Q0.001,8.16636860929939,rep0,0.1,11407,VAE,0.3232214374539074,0.2301892361358189,0.3178378732256217
21,Q0.001,8.16636860929939,rep0,0.1,11407,PCA,0.3875934800338663,0.37789267237882135,0.4403681666470918
22,Q0.001,8.16636860929939,rep0,0.1,11407,RandomProjection,0.4157394899256832,0.29021058420196205,0.3889277721872837
23,Q0.001,8.16636860929939,rep0,0.1,11407,nanoTxformer,0.34405447930741934,0.3560915171148574,0.432200018446221
24,Q0.001,8.16636860929939,rep0,0.215,24525,VAE,0.33077825792054055,0.22652389540308904,0.27977744742296096
25,Q0.001,8.16636860929939,rep0,0.215,24525,PCA,0.3674486498944527,0.36929028790371565,0.45199610139848095
26,Q0.001,8.16636860929939,rep0,0.215,24525,RandomProjection,0.3773663425796114,0.29491061361172116,0.3984493503019271
27,Q0.001,8.16636860929939,rep0,0.464,52929,VAE,0.33460389722437367,0.24255949314647252,0.28798172549506096
28,Q0.001,8.16636860929939,rep0,0.464,52929,PCA,0.38075619929985505,0.37794646888352923,0.4384167432638938
29,Q0.001,8.16636860929939,rep0,0.464,52929,RandomProjection,0.37415992222643757,0.31558232426508015,0.3867608226241794
30,Q0.001,8.16636860929939,rep0,1.0,114072,VAE,0.32146503655492853,0.2428174776710528,0.3056218359511867
31,Q0.001,8.16636860929939,rep0,1.0,114072,PCA,0.3792337733275332,0.3980523773176678,0.4709200148172826
32,Q0.001,8.16636860929939,rep0,1.0,114072,RandomProjection,0.3582832369634627,0.2977487519151845,0.39506023753378205
33,Q0.001,8.16636860929939,rep0,1.0,114072,nanoTxformer,0.30222279144382574,0.419007303190661,0.43363729197659157
34,Q0.002,17.570823690300863,rep0,0.001,114,VAE,0.61029668151511,0.5880297598942764,0.7250791977628105
35,Q0.002,17.570823690300863,rep0,0.001,114,PCA,0.6506104553822978,0.5181799643726053,0.6830102324431195
36,Q0.002,17.570823690300863,rep0,0.001,114,RandomProjection,0.5922248959575194,0.5227771083911693,0.637249747400351
37,Q0.002,17.570823690300863,rep0,0.001,114,nanoTxformer,0.6205533023153166,0.7452155389278011,0.7402722146451677
38,Q0.002,17.570823690300863,rep0,0.002,228,VAE,0.6029662175069866,0.5919631003592343,0.7106175959071515
39,Q0.002,17.570823690300863,rep0,0.002,228,PCA,0.6157458296435776,0.4747807120399589,0.6674085515643567
40,Q0.002,17.570823690300863,rep0,0.002,228,RandomProjection,0.535031078116123,0.5223485434091134,0.5972294180070458
41,Q0.002,17.570823690300863,rep0,0.005,570,VAE,0.6461780981964564,0.5565779205471596,0.7197717338727325
42,Q0.002,17.570823690300863,rep0,0.005,570,PCA,0.538886145772361,0.5070782190206943,0.6712902440074429
43,Q0.002,17.570823690300863,rep0,0.005,570,RandomProjection,0.5885103409333541,0.5496002802685673,0.6702284170014613
44,Q0.002,17.570823690300863,rep0,0.01,1140,VAE,0.6001249868537192,0.5124015181977833,0.7470621864813198
45,Q0.002,17.570823690300863,rep0,0.01,1140,PCA,0.5917363870550347,0.556236167163612,0.7187881447903572
46,Q0.002,17.570823690300863,rep0,0.01,1140,RandomProjection,0.5695105765852047,0.5306395703946059,0.618800265071345
47,Q0.002,17.570823690300863,rep0,0.01,1140,nanoTxformer,0.7263996114617148,0.7324084855386112,0.7289423610504281
48,Q0.002,17.570823690300863,rep0,0.022,2509,VAE,0.6335699499213133,0.5233542491487432,0.5903565328106376
49,Q0.002,17.570823690300863,rep0,0.022,2509,PCA,0.6048785101376419,0.5084761337164374,0.7141357694172307
50,Q0.002,17.570823690300863,rep0,0.022,2509,RandomProjection,0.5912010276991893,0.5047978393959505,0.5935435394168179
51,Q0.002,17.570823690300863,rep0,0.046,5247,VAE,0.6268871936370656,0.44403812538307375,0.5268783379104803
52,Q0.002,17.570823690300863,rep0,0.046,5247,PCA,0.5914854679144569,0.5140699320126063,0.7290993758577818
53,Q0.002,17.570823690300863,rep0,0.046,5247,RandomProjection,0.5335159155377877,0.4796572308089258,0.5936704982628886
54,Q0.002,17.570823690300863,rep0,0.1,11407,VAE,0.6891494449150589,0.46614152210791854,0.7043159933982469
55,Q0.002,17.570823690300863,rep0,0.1,11407,PCA,0.5704764064546979,0.5274688745861177,0.6754579868369928
56,Q0.002,17.570823690300863,rep0,0.1,11407,RandomProjection,0.5839144820252925,0.4518606185141756,0.6464306020388644
57,Q0.002,17.570823690300863,rep0,0.1,11407,nanoTxformer,0.7070328559683206,0.709720336685762,0.7194614225492368
58,Q0.002,17.570823690300863,rep0,0.215,24525,VAE,0.7777907817580423,0.664316466284477,0.5487027343609608
59,Q0.002,17.570823690300863,rep0,0.215,24525,PCA,0.6327082773857915,0.5238025987524474,0.7334008228694244
60,Q0.002,17.570823690300863,rep0,0.215,24525,RandomProjection,0.5873153371913714,0.3897955986781831,0.6377915223158445
61,Q0.002,17.570823690300863,rep0,0.464,52929,VAE,0.7644569959662166,0.5782575666485307,0.7586278963507211
62,Q0.002,17.570823690300863,rep0,0.464,52929,PCA,0.5936736070073045,0.514235737094121,0.7303456062410854
63,Q0.002,17.570823690300863,rep0,0.464,52929,RandomProjection,0.5961275886107054,0.5840972055473763,0.6605161089006932
64,Q0.002,17.570823690300863,rep0,1.0,114072,VAE,0.8069131583587295,0.5630204332951003,0.7253985619430493
