,Scale,MI,Class label,N instances of label
0,0.1,1.0030999159634395,0,216
1,0.1,0.9654440703336552,1,221
2,0.1,0.9992072224319503,3,400
3,0.1,1.000332989887557,5,396
4,0.1,1.0055427371208674,94,121
5,0.1,2.2137036210417738,all,1354
6,0.2782559402207124,0.9964757946261719,0,216
7,0.2782559402207124,1.0031384745117782,1,221
8,0.2782559402207124,1.0017334873513162,3,400
9,0.2782559402207124,0.9991726938443289,5,396
10,0.2782559402207124,0.9927484333284566,94,121
11,0.2782559402207124,2.1716221891573433,all,1354
12,0.774263682681127,0.9812020932561131,0,216
13,0.774263682681127,0.9999457967554273,1,221
14,0.774263682681127,1.0015170659605885,3,400
15,0.774263682681127,1.0013638415528943,5,396
16,0.774263682681127,1.0019918886626553,94,121
17,0.774263682681127,2.1975311040194736,all,1354
18,2.1544346900318834,0.9838129986770773,0,216
19,2.1544346900318834,0.9803616745311925,1,221
20,2.1544346900318834,0.9634966306989358,3,400
21,2.1544346900318834,0.9643237765541101,5,396
22,2.1544346900318834,0.9499646962625841,94,121
23,2.1544346900318834,2.1373641974317366,all,1354
24,5.994842503189409,0.4038520358742841,0,216
25,5.994842503189409,0.4750135456923852,1,221
26,5.994842503189409,0.5777814393602498,3,400
27,5.994842503189409,0.49168149645267295,5,396
28,5.994842503189409,0.053821029962676646,94,121
29,5.994842503189409,1.1251076869493937,all,1354
30,16.68100537200059,0.08666556894160456,0,216
31,16.68100537200059,0.1506159423337902,1,221
32,16.68100537200059,0.3777578375748761,3,400
33,16.68100537200059,0.2881122639335683,5,396
34,16.68100537200059,-0.0013758623723065524,94,121
35,16.68100537200059,0.6235016661420977,all,1354
36,46.41588833612777,0.11962093527460126,0,216
37,46.41588833612777,0.109821446310433,1,221
38,46.41588833612777,0.1907622834736757,3,400
39,46.41588833612777,0.06872418172274601,5,396
40,46.41588833612777,0.008463034633549756,94,121
41,46.41588833612777,0.16632014578876966,all,1354
42,129.15496650148827,0.026777958212788087,0,216
43,129.15496650148827,0.007516002812367482,1,221
44,129.15496650148827,0.03091648985736175,3,400
45,129.15496650148827,0.056533467674777314,5,396
46,129.15496650148827,-0.06575676401078409,94,121
47,129.15496650148827,0.03043699880084392,all,1354
48,359.38136638046257,-0.02967293312626366,0,216
49,359.38136638046257,-0.016965848585649198,1,221
50,359.38136638046257,0.0012411464061671041,3,400
51,359.38136638046257,0.020748570620549946,5,396
52,359.38136638046257,-0.033871774888354834,94,121
53,359.38136638046257,-0.009435154359286126,all,1354
54,1000.0,-0.024714897769993933,0,216
55,1000.0,-0.061118660794510345,1,221
56,1000.0,0.005483912764559351,3,400
57,1000.0,0.031749563709974754,5,396
58,1000.0,0.08235895109604953,94,121
59,1000.0,-0.04858433274191786,all,1354
